1,0.002715,1,2
2,0.008386,2,3
3,0.003055,3,4
4,0.003827,4,5
5,0.004679,1,7
6,0.006192,2,10
7,0.008235,3,14
8,0.01102,4,19
9,0.014497,5,25
10,0.019968,1,34
11,0.026439,2,47
12,0.036779,3,65
13,0.050365,4,89
14,0.067317,5,120
15,0.102483,2,162
16,0.114125,3,220
17,0.145985,4,300
18,0.198553,5,409
19,0.269075,6,555
20,0.368994,2,752
21,0.501413,3,1020
22,0.757604,4,1386
23,1.01439,5,1885
24,1.38266,6,2561
25,1.79879,1,3477
26,2.38419,2,4720
27,3.68807,3,6410
28,16.4769,4,8709
29,5.49683,5,11831
30,8.48546,2,16068
31,13.5631,3,21819
32,23.7307,4,29630
33,28.9725,5,40244
34,34.211,6,54662
35,36.0746,2,74242
36,56.5783,3,100829
37,67.8071,4,136935
38,88.7924,5,185978
39,116.532,6,252592
40,158.001,3,343065
-1, 672.151,0 , 0
